AssetID,AssetName,Location,Region,InstalledDate,CapacityKW,Status,LastMaintenanceDate
1,Panel_885,New York,NA,2017-04-11,443.31,Inactive,2025-07-23
2,Panel_505,São Paulo,LATAM,2019-02-22,467.98,Inactive,2025-10-24
3,Generator_749,London,UK,2018-08-20,471.45,Maintenance,2025-08-27
4,Battery_876,Paris,EU,2021-10-24,92.95,Inactive,2025-05-09
5,Battery_586,Toronto,NA,2021-06-18,391.0,Inactive,2025-10-20
6,Panel_808,New York,NA,2019-11-07,482.81,Inactive,2025-07-01
7,Generator_853,Tokyo,APAC,2021-10-03,431.5,Inactive,2025-04-22
8,Turbine_216,Buenos Aires,LATAM,2021-12-11,488.83,Maintenance,2025-07-06
9,Battery_452,Toronto,NA,2023-05-11,480.96,Inactive,2025-07-29
10,Generator_805,Buenos Aires,LATAM,2021-03-29,320.41,Inactive,2025-05-02
11,Panel_194,São Paulo,LATAM,2020-02-10,426.73,Maintenance,2025-02-19
12,Battery_775,Tokyo,APAC,2024-04-01,166.51,Active,2025-07-23
13,Panel_778,Madrid,EU,2023-06-10,534.34,Maintenance,2025-07-08
14,Battery_401,Buenos Aires,LATAM,2024-06-13,299.44,Inactive,2025-03-29
15,Turbine_475,São Paulo,LATAM,2021-03-11,176.81,Inactive,2025-09-16
16,Battery_405,São Paulo,LATAM,2020-05-30,84.59,Inactive,2025-10-07
17,Panel_908,São Paulo,LATAM,2024-08-21,589.54,Active,2025-02-22
18,Panel_780,London,UK,2022-08-28,447.4,Maintenance,2025-03-15
19,Turbine_283,Tokyo,APAC,2017-03-21,478.47,Maintenance,2025-07-16
20,Battery_732,Toronto,NA,2019-04-11,281.13,Maintenance,2025-09-29
21,Generator_211,London,UK,2019-04-26,554.29,Active,2025-05-21
22,Panel_501,Tokyo,APAC,2021-10-09,455.68,Active,2025-10-16
23,Turbine_853,London,UK,2018-12-11,173.19,Maintenance,2025-03-04
24,Turbine_487,Paris,EU,2021-03-25,545.49,Inactive,2025-02-25
25,Generator_243,London,UK,2021-05-10,537.5,Maintenance,2025-01-29
26,Turbine_467,Manchester,UK,2023-02-10,302.19,Inactive,2025-07-24
27,Panel_767,Sydney,APAC,2023-07-24,97.93,Active,2025-02-07
28,Battery_484,Sydney,APAC,2018-11-09,147.77,Active,2025-09-17
29,Turbine_442,New York,NA,2022-10-09,443.79,Active,2025-06-02
30,Battery_358,Sydney,APAC,2017-11-03,104.35,Maintenance,2025-04-24
31,Generator_136,New York,NA,2020-10-21,457.06,Inactive,2025-08-26
32,Generator_519,Manchester,UK,2018-05-23,202.77,Inactive,2025-10-03
33,Generator_344,Tokyo,APAC,2021-11-04,410.26,Active,2025-08-07
34,Battery_141,Madrid,EU,2017-11-01,230.08,Maintenance,2025-02-04
35,Turbine_414,Manchester,UK,2020-12-22,282.95,Active,2025-07-07
36,Battery_596,New York,NA,2017-06-07,287.8,Maintenance,2025-05-08
37,Panel_415,Madrid,EU,2022-07-06,369.55,Maintenance,2025-10-17
38,Turbine_280,Tokyo,APAC,2020-09-17,205.96,Inactive,2025-01-03
39,Turbine_505,Buenos Aires,LATAM,2021-08-03,152.97,Maintenance,2025-04-25
40,Panel_409,Paris,EU,2020-05-31,163.89,Maintenance,2025-08-10
41,Panel_396,São Paulo,LATAM,2018-01-08,237.27,Inactive,2025-06-04
42,Battery_275,Tokyo,APAC,2022-06-05,328.67,Maintenance,2025-07-30
43,Turbine_292,New York,NA,2023-03-06,412.0,Maintenance,2025-03-14
44,Generator_706,São Paulo,LATAM,2020-05-27,520.13,Active,2025-01-14
45,Panel_573,São Paulo,LATAM,2018-01-27,137.69,Active,2025-02-05
46,Turbine_683,Buenos Aires,LATAM,2020-09-09,422.58,Inactive,2025-03-15
47,Panel_592,Berlin,EU,2019-11-22,133.45,Active,2025-02-03
48,Battery_368,Madrid,EU,2019-09-18,414.22,Maintenance,2025-02-19
49,Generator_377,Toronto,NA,2022-01-25,557.64,Maintenance,2025-08-09
50,Battery_809,London,UK,2018-08-01,279.47,Maintenance,2025-08-15
51,Generator_636,Toronto,NA,2021-05-21,444.1,Maintenance,2025-04-02
52,Battery_293,Sydney,APAC,2024-08-08,531.89,Active,2025-06-30
53,Panel_626,Sydney,APAC,2023-11-04,364.09,Active,2025-02-19
54,Battery_139,São Paulo,LATAM,2018-04-17,425.23,Maintenance,2025-03-10
55,Battery_713,Toronto,NA,2023-11-02,498.4,Active,2025-04-02
56,Battery_686,Madrid,EU,2023-01-20,503.8,Inactive,2025-07-11
57,Panel_192,Manchester,UK,2021-06-26,408.99,Inactive,2025-02-12
58,Turbine_879,Sydney,APAC,2017-02-13,238.2,Active,2025-01-10
59,Generator_242,Berlin,EU,2021-01-14,134.14,Active,2025-05-17
60,Battery_387,Toronto,NA,2020-04-11,237.42,Maintenance,2025-10-21
61,Generator_652,Buenos Aires,LATAM,2019-09-26,457.6,Inactive,2025-07-06
62,Battery_474,Toronto,NA,2021-12-13,336.95,Maintenance,2025-09-09
63,Battery_625,Tokyo,APAC,2024-06-18,318.69,Active,2025-01-13
