MaintenanceID,AssetID,Technician,ActivityType,Issue,ActionTaken,CostUSD,Date
M0001,2194,John P,Repair,Battery Leak,Replaced Blade,764,2025-02-02
M0002,1376,John P,Replacement,Voltage Spike,Rewired circuit,704,2025-08-13
M0003,572,Ravi T,Replacement,Broken Blade,Replaced Blade,842,2025-07-29
M0004,4201,Grace E,Replacement,None,Routine Check,324,2025-06-07
M0005,1686,James M,Replacement,Sensor Failure,Routine Check,1290,2025-08-22
M0006,2024,Alex S,Replacement,Battery Leak,Sensor Replaced,569,2025-03-04
M0007,79,Maria G,Inspection,None,Sensor Replaced,1616,2025-05-31
M0008,765,John L,Replacement,Broken Blade,Sensor Replaced,1000,2025-09-06
M0009,3621,Grace E,Repair,Loose Connection,Sensor Replaced,1349,2025-08-16
M0010,588,Maria G,Repair,Sensor Failure,Sensor Replaced,693,2025-06-25
M0011,4568,Anita D,Repair,Sensor Failure,Sensor Replaced,1401,2025-07-19
M0012,1542,Alex S,Inspection,None,Installed new cell,930,2025-05-24
M0013,3033,Alex S,Repair,Voltage Spike,Tightened,848,2025-08-19
M0014,1212,John L,Replacement,Voltage Spike,Routine Check,972,2025-08-02
M0015,1237,Sarah K,Inspection,None,Routine Check,1127,2025-08-22
M0016,3668,Maria G,Replacement,Loose Connection,Tightened,1599,2025-06-11
M0017,3591,Grace E,Repair,Loose Connection,Cooling Fan Replaced,1201,2025-06-27
M0018,3680,John P,Repair,Voltage Spike,Sensor Replaced,1998,2025-03-27
M0019,3976,James M,Replacement,Voltage Spike,Cooling Fan Replaced,1474,2025-09-08
M0020,1511,Sarah K,Repair,Sensor Failure,Installed new cell,1735,2025-05-04
M0021,3537,John L,Replacement,Overheat,Tightened,263,2025-06-24
M0022,4412,Maria G,Inspection,None,Tightened,1956,2025-06-30
M0023,2950,Alex S,Repair,None,Sensor Replaced,997,2025-08-09
M0024,207,Grace E,Replacement,Broken Blade,Sensor Replaced,1572,2025-05-02
M0025,2390,Grace E,Inspection,None,Replaced Blade,760,2025-08-07
M0026,707,Sarah K,Repair,Overheat,Tightened,1164,2025-08-08
M0027,4287,Alex S,Repair,Battery Leak,Cooling Fan Replaced,221,2025-07-05
M0028,4739,John P,Inspection,None,Sensor Replaced,665,2025-08-27
M0029,3261,Tom R,Inspection,None,Routine Check,1469,2025-09-06
M0030,3107,Ravi T,Replacement,Overheat,Cooling Fan Replaced,1795,2025-09-05
M0031,3383,Tom R,Replacement,Broken Blade,Sensor Replaced,1251,2025-04-11
M0032,1610,Alex S,Inspection,None,Replaced Blade,1151,2025-08-14
M0033,2484,Anita D,Repair,Loose Connection,Replaced Blade,1537,2025-10-14
M0034,4658,Alex S,Repair,Voltage Spike,Cooling Fan Replaced,1976,2025-09-13
M0035,2987,John P,Inspection,None,Sensor Replaced,1448,2025-10-25
M0036,4648,Ravi T,Repair,None,Tightened,690,2025-01-20
M0037,3053,Tom R,Replacement,Sensor Failure,Cooling Fan Replaced,1399,2025-06-02
M0038,2198,Anita D,Repair,Overheat,Sensor Replaced,1546,2025-09-25
M0039,432,Tom R,Replacement,Loose Connection,Tightened,384,2025-08-05
M0040,4661,Alex S,Repair,Overheat,Routine Check,1365,2025-04-25
M0041,2320,Alex S,Replacement,Overheat,Replaced Blade,897,2025-02-02
M0042,4451,Sarah K,Replacement,Loose Connection,Cooling Fan Replaced,1510,2025-02-26
M0043,1027,Alex S,Replacement,Voltage Spike,Routine Check,1646,2025-07-26
M0044,2358,James M,Replacement,Broken Blade,Rewired circuit,1010,2025-05-26
M0045,2914,Anita D,Replacement,None,Tightened,758,2025-08-13
M0046,3690,Ravi T,Inspection,None,Sensor Replaced,1504,2025-04-08
M0047,2907,Sarah K,Replacement,Voltage Spike,Tightened,466,2025-03-11
M0048,1552,Grace E,Inspection,None,Rewired circuit,1122,2025-10-23
M0049,1308,Tom R,Repair,Battery Leak,Cooling Fan Replaced,992,2025-08-12
M0050,2041,Anita D,Repair,Voltage Spike,Tightened,605,2025-02-22
M0051,3766,Tom R,Repair,None,Sensor Replaced,564,2025-04-11
M0052,3102,Alex S,Repair,Voltage Spike,Sensor Replaced,1614,2025-03-20
M0053,4225,John L,Replacement,Loose Connection,Sensor Replaced,1908,2025-08-16
M0054,223,Anita D,Inspection,None,Rewired circuit,134,2025-03-26
M0055,1144,Ravi T,Replacement,Battery Leak,Installed new cell,1491,2025-01-03
M0056,4935,Tom R,Replacement,Broken Blade,Replaced Blade,1206,2025-08-30
M0057,4908,John L,Inspection,None,Sensor Replaced,1503,2025-07-16
M0058,3913,John L,Repair,Loose Connection,Sensor Replaced,979,2025-07-18
M0059,2867,Grace E,Inspection,None,Installed new cell,1893,2025-02-24
M0060,405,Anita D,Inspection,None,Rewired circuit,1192,2025-08-15
M0061,4589,Anita D,Repair,Sensor Failure,Tightened,1340,2025-06-26
M0062,2161,John L,Replacement,Overheat,Cooling Fan Replaced,535,2025-01-04
M0063,1707,Ravi T,Inspection,None,Routine Check,1370,2025-03-27
M0064,1083,Anita D,Replacement,Broken Blade,Routine Check,496,2025-09-07
M0065,2183,James M,Replacement,Battery Leak,Replaced Blade,857,2025-04-08
M0066,485,Anita D,Repair,None,Rewired circuit,730,2025-01-08
M0067,1881,Tom R,Repair,Sensor Failure,Routine Check,247,2025-09-24
M0068,2651,James M,Replacement,Battery Leak,Replaced Blade,709,2025-09-08
M0069,4382,Grace E,Repair,Battery Leak,Tightened,418,2025-07-18
M0070,2146,James M,Replacement,Overheat,Replaced Blade,1982,2025-08-11
M0071,3094,Alex S,Replacement,Broken Blade,Cooling Fan Replaced,1067,2025-06-07
M0072,4189,Alex S,Repair,None,Tightened,1542,2025-02-24
M0073,719,James M,Replacement,None,Tightened,1104,2025-01-25
M0074,32,Ravi T,Replacement,None,Cooling Fan Replaced,1701,2025-06-20
M0075,3995,Grace E,Replacement,Voltage Spike,Sensor Replaced,1314,2025-02-03
M0076,440,James M,Inspection,None,Sensor Replaced,1623,2025-03-14
M0077,1993,John L,Replacement,Overheat,Tightened,679,2025-02-10
M0078,2125,Maria G,Repair,Loose Connection,Tightened,1345,2025-01-14
M0079,4742,Maria G,Repair,Sensor Failure,Routine Check,433,2025-09-24
M0080,4021,Ravi T,Replacement,Battery Leak,Sensor Replaced,1936,2025-06-07
M0081,4233,Anita D,Inspection,None,Sensor Replaced,1646,2025-06-01
M0082,4556,Tom R,Repair,Overheat,Tightened,1089,2025-05-28
M0083,2659,James M,Repair,Broken Blade,Installed new cell,583,2025-07-22
M0084,1898,Ravi T,Repair,None,Sensor Replaced,351,2025-08-28
M0085,4717,Sarah K,Inspection,None,Sensor Replaced,1666,2025-04-16
M0086,3792,Maria G,Repair,None,Replaced Blade,1045,2025-03-19
M0087,4625,Sarah K,Repair,Battery Leak,Tightened,429,2025-06-13
M0088,4285,Sarah K,Inspection,None,Replaced Blade,1758,2025-08-01
M0089,4514,John L,Replacement,Broken Blade,Sensor Replaced,733,2025-03-11
M0090,2557,John L,Repair,None,Routine Check,517,2025-01-07
M0091,3934,Alex S,Repair,Broken Blade,Tightened,1212,2025-02-19
M0092,3785,Sarah K,Repair,Loose Connection,Rewired circuit,159,2025-07-30
M0093,4908,Maria G,Repair,Loose Connection,Installed new cell,1687,2025-08-10
M0094,882,Anita D,Replacement,Broken Blade,Installed new cell,207,2025-09-17
M0095,2029,John P,Replacement,Voltage Spike,Routine Check,1696,2025-01-06
M0096,3547,John L,Inspection,None,Cooling Fan Replaced,989,2025-05-28
M0097,3018,John L,Repair,None,Tightened,1715,2025-07-20
M0098,1248,Ravi T,Replacement,Voltage Spike,Cooling Fan Replaced,550,2025-06-28
M0099,2926,John P,Repair,Voltage Spike,Routine Check,1752,2025-03-17
M0100,3748,John P,Replacement,Sensor Failure,Sensor Replaced,1561,2025-02-01
M0101,562,John P,Replacement,None,Replaced Blade,629,2025-04-18
M0102,2055,Anita D,Inspection,None,Routine Check,1318,2025-08-18
M0103,3225,John L,Repair,Broken Blade,Sensor Replaced,1476,2025-03-18
M0104,4398,Sarah K,Repair,Overheat,Rewired circuit,1271,2025-10-06
M0105,1258,Alex S,Inspection,None,Rewired circuit,1328,2025-03-29
M0106,517,Ravi T,Repair,Broken Blade,Replaced Blade,1547,2025-06-12
M0107,1871,Tom R,Repair,Loose Connection,Replaced Blade,442,2025-10-19
